Generation,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
2,47,3.56,0.0,7.5,3.0,5.0
3,161,5.13,0.0,10.0,5.0,4.0
4,208,6.4,1.0,10.0,6.0,5.0
5,24,5.88,0.5,10.0,6.0,5.0
