Sexe,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
Fille,161,5.18,0.5,10.0,5.0,5.0
Gars,279,5.84,0.0,10.0,6.0,5.0
