Taille,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
Groupe,389,5.71,0.5,10.0,5.5,5.0
Solo,48,4.72,0.0,10.0,5.0,3.0
Duo,3,6.17,3.0,9.5,6.0,3.0
