Vibe,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
Aucune,355,5.63,0.0,10.0,5.0,5.0
Loveur,24,6.9,2.0,10.0,7.0,10.0
Nostalgie,23,4.22,0.0,10.0,4.0,4.0
Positive,29,5.64,0.5,10.0,6.0,5.0
Été,9,4.67,3.0,7.0,5.0,5.0
