Sexe,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
Fille,161,6.22,0.0,10.0,6.5,7.0
Gars,279,6.97,1.0,10.0,7.0,10.0
