Taille,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
Groupe,389,6.78,0.0,10.0,7.0,10.0
Solo,48,6.09,1.0,10.0,6.0,7.0
Duo,3,6.0,2.0,9.0,7.0,2.0
