Generation,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
2,47,8.29,4.0,10.0,9.0,10.0
3,161,6.78,1.0,10.0,7.0,10.0
4,208,6.38,0.0,10.0,6.5,6.0
5,24,5.71,2.0,7.5,6.0,6.0
