ID,Episode,Numero,Artiste,Generation,Compagnie,Sexe,Taille,Titre,Annee,Sous_unite,Featuring,Moyenne_Nouveaux_fans,Moyenne_Anciens_fans,Moyenne_Totale
55,3,11,Stray Kids,4,JYP Entertainment,Gars,Groupe,Megaverse,2023,Non,Non,10.0,7.25,8.63
56,3,12,Jisoo,3,YG Entertainment,Fille,Solo,Flower,2023,Non,Non,2.75,4.0,3.38
57,3,13,BTS,3,BigHit Entertainment,Gars,Groupe,Fire,2016,Non,Non,8.0,7.75,7.88
58,3,14,Jung Kook,3,BigHit Entertainment,Gars,Solo,Standing next to you,2023,Non,Non,6.25,4.0,5.13
59,3,15,Everglow,4,Yuehua Entertainment,Fille,Groupe,Dun dun,2020,Non,Non,7.5,8.0,7.75
60,3,16,Seventeen,3,Pledis Entertainment,Gars,Groupe,Fighting,2023,BSS,Non,6.25,8.0,7.13
61,3,17,Girls' Generation,2,SM Entertainment,Fille,Groupe,Run devil run,2010,Non,Non,2.75,6.75,4.75
62,3,18,BTS,3,BigHit Entertainment,Gars,Groupe,MIC drop,2017,Non,Non,7.5,6.5,7.0
63,3,19,Ateez,4,KQ Entertainment,Gars,Groupe,Bouncy,2023,Non,Non,3.75,7.25,5.5
64,3,20,BlackPink,3,YG Entertainment,Fille,Groupe,Pink venom,2022,Non,Non,5.75,7.0,6.38
65,3,21,Stray Kids,4,JYP Entertainment,Gars,Groupe,Back door,2020,Non,Non,9.25,8.5,8.88
66,3,22,Enhypen,4,Belift Lab,Gars,Groupe,Drunk-Dazed,2021,Non,Non,10.0,10.0,10.0
67,4,1,Dreamcatcher,3,Dreamcatcher Company,Fille,Groupe,Odd eye,2020,Non,Non,8.5,8.5,8.5
68,4,2,BTS,3,BigHit Entertainment,Gars,Groupe,Butter,2021,Non,Non,1.5,3.75,2.63
69,4,3,Jung Kook,3,BigHit Entertainment,Gars,Solo,3D,2023,Non,Non,3.0,3.5,3.25
70,4,4,BlackPink,3,YG Entertainment,Fille,Groupe,Kill this love,2019,Non,Non,6.5,7.75,7.13
71,4,5,Stray Kids,4,JYP Entertainment,Gars,Groupe,Social path,2023,Non,LiSA,10.0,9.5,9.75
72,4,6,Kai,3,SM Entertainment,Gars,Solo,Rover,2023,Non,Non,5.75,5.25,5.5
73,4,7,Illit,4,BELIFT LAB,Fille,Groupe,Magnetic,2024,Non,Non,2.75,8.5,5.63
74,4,8,BigBang,2,YG Entertainment,Gars,Groupe,Bang bang bang,2015,Non,Non,3.5,9.75,6.63
75,4,9,TXT,4,BigHit Entertainment,Gars,Groupe,Chasing that feeling,2023,Non,Non,7.25,5.5,6.38
76,4,10,Aespa,4,SM Entertainment,Fille,Groupe,Supernova,2024,Non,Non,4.75,6.0,5.38
77,4,11,BTS,3,BigHit Entertainment,Gars,Groupe,I need U,2015,Non,Non,5.0,8.5,6.75
78,4,12,(G)I-dle,4,CUBE Entertainment,Fille,Groupe,Super lady,2023,Non,Non,4.5,7.75,6.13
79,4,13,Stray Kids,4,JYP Entertainment,Gars,Groupe,Topline,2023,Non,Non,8.0,7.25,7.63
80,4,14,Ateez,4,KQ Entertainment,Gars,Groupe,Wonderland,2019,Non,Non,7.75,7.5,7.63
81,4,15,Le Sserafim,4,Source Music,Fille,Groupe,Smart,2024,Non,Non,5.5,5.5,5.5
82,4,16,Shaun,3,AOMG,Gars,Solo,Way back home,2018,Non,Non,4.25,9.0,6.63
83,4,17,Treasure,4,YG Entertainment,Gars,Groupe,Jikjin,2021,Non,Non,6.25,6.5,6.38
84,4,18,Nayeon,3,JYP Entertainment,Fille,Solo,Abcd,2024,Non,Non,6.5,4.75,5.63
85,4,19,BTS,3,BigHit Entertainment,Gars,Groupe,On,2019,Non,Non,8.0,4.5,6.25
86,4,20,Seventeen,3,Pledis Entertainment,Gars,Groupe,Maestro,2024,Non,Non,6.5,6.5,6.5
87,4,21,Lisa,3,YG Entertainment,Fille,Solo,Rockstar,2024,Non,Non,4.0,6.0,5.0
88,4,22,Stray Kids,4,JYP Entertainment,Gars,Groupe,Lalalala,2023,Non,Non,10.0,5.25,7.63
89,5,1,2Ne1,2,YG Entertainment,Fille,Groupe,I am the best,2011,Non,Non,2.75,8.25,5.5
90,5,2,Monsta X,3,Starship Entertainment,Gars,Groupe,Dramarama,2017,Non,Non,6.0,9.0,7.5
91,5,3,Jimin,3,BigHit Entertainment,Gars,Solo,Like crazy,2023,Non,Non,5.0,6.25,5.63
92,5,4,Twice,3,JYP Entertainment,Fille,Groupe,What is love?,2018,Non,Non,2.0,8.0,5.0
93,5,5,Stray Kids,4,JYP Entertainment,Gars,Groupe,God's menu,2020,Non,Non,7.0,9.75,8.38
94,5,6,TWS,5,Pledis Entertainment,Gars,Groupe,Plot twist,2024,Non,Non,5.5,6.75,6.13
95,5,7,(G)I-dle,4,CUBE Entertainment,Fille,Groupe,Queencard,2023,Non,Non,2.0,8.5,5.25
96,5,8,BTS,3,BigHit Entertainment,Gars,Groupe,Spring day,2017,Non,Non,2.5,10.0,6.25
97,5,9,Seventeen,3,Pledis Entertainment,Gars,Groupe,Hot,2022,Non,Non,5.5,9.0,7.25
98,5,10,NewJeans,4,ADOR,Fille,Groupe,Eta,2023,Non,Non,2.5,4.0,3.25
99,5,11,Stray Kids,4,JYP Entertainment,Gars,Groupe,Lose my breath,2024,Non,Non,8.25,6.25,7.25
100,5,12,Treasure,4,YG Entertainment,Gars,Groupe,Bona bona,2023,Non,Non,7.0,5.25,6.13
101,5,13,Stella Jang,3,Schnauzer Boulangerie,Fille,Solo,Colors,2016,Non,Non,0.5,6.0,3.25
102,5,14,BTS,3,BigHit Entertainment,Gars,Groupe,Danger,2014,Non,Non,5.0,7.5,6.25
103,5,15,NCT Dream,4,SM Entertainment,Gars,Groupe,ISTJ,2023,Non,Non,8.25,6.5,7.38
104,5,16,Red Velvet,3,SM Entertainment,Fille,Groupe,Psycho,2019,Non,Non,4.5,10.0,7.25
105,5,17,TXT,4,BigHit Entertainment,Gars,Groupe,0X1=Lovesong,2021,Non,Seori,7.25,6.75,7.0
106,5,18,Ateez,4,KQ Entertainment,Gars,Groupe,Deja vu,2021,Non,Non,7.75,9.0,8.38
107,5,19,BabyMonster,5,YG Entertainment,Fille,Groupe,Sheesh,2023,Non,Non,2.5,7.5,5.0
108,5,20,BTS,3,BigHit Entertainment,Gars,Groupe,Permission to dance,2021,Non,Non,2.5,4.75,3.63
109,5,21,Stray Kids,4,JYP Entertainment,Gars,Groupe,Stray Kids,2024,Non,Non,9.0,6.75,7.88
110,5,22,BlackPink,3,YG Entertainment,Fille,Groupe,Shut down,2022,Non,Non,4.5,8.0,6.25
111,6,1,Riize,5,SM Entertainment,Gars,Groupe,Get a guitar,2023,Non,Non,3.0,6.5,4.75
112,6,2,BTS,3,BigHit Entertainment,Gars,Groupe,Fake love,2018,Non,Non,5.5,9.5,7.5
113,6,3,BlackPink,3,YG Entertainment,Fille,Groupe,Boombayah,2016,Non,Non,5.5,8.0,6.75
114,6,4,Stray Kids,4,JYP Entertainment,Gars,Groupe,Jjam,2024,Non,Non,9.25,6.0,7.63
115,6,5,NewJeans,4,ADOR,Fille,Groupe,Super shy,2023,Non,Non,2.5,8.5,5.5
116,6,6,Enhypen,4,Belift Lab,Gars,Groupe,Bite me,2023,Non,Non,7.5,9.0,8.25
117,6,7,Got7,3,JYP Entertainment,Gars,Groupe,Hard carry,2016,Non,Non,6.75,10.0,8.38
118,6,8,Bibi,4,88rising,Fille,Solo,Bibi vengeance,2022,Non,Non,5.75,10.0,7.88
119,6,9,TXT,4,BigHit Entertainment,Gars,Groupe,Sugar rush ride,2023,Non,Non,5.5,5.5,5.5
120,6,10,BTS,3,BigHit Entertainment,Gars,Groupe,Dynamite,2020,Non,Non,5.0,6.5,5.75
121,6,11,Momoland,3,MLD Entertainment,Fille,Groupe,Bboom bboom,2018,Non,Non,2.5,7.0,4.75
122,6,12,P1Harmony,4,FNC Entertainment,Gars,Groupe,Killin'it,2023,Non,Non,6.5,6.75,6.63
123,6,13,Itzy,4,JYP Entertainment,Fille,Groupe,Untouchable,2024,Non,Non,6.0,6.5,6.25
124,6,14,Stray Kids,4,JYP Entertainment,Gars,Groupe,Mountains,2024,Non,Non,9.25,5.0,7.13
125,6,15,Ateez,4,KQ Entertainment,Gars,Groupe,Halazia,2022,Non,Non,10.0,6.0,8.0
126,6,16,Kiss of life,5,S2 Entertainment,Fille,Groupe,Bad news,2023,Non,Non,4.75,4.0,4.38
127,6,17,BTS,3,BigHit Entertainment,Gars,Groupe,Life goes on,2020,Non,Non,1.75,6.75,4.25
128,6,18,Seventeen,3,Pledis Entertainment,Gars,Groupe,Left & Right,2020,Non,Non,4.5,10.0,7.25
129,6,19,Twice,3,JYP Entertainment,Fille,Groupe,I can't stop me,2020,Non,Non,5.25,7.25,6.25
130,6,20,Winner,3,YG Entertainment,Gars,Groupe,Really really,2017,Non,Non,2.0,9.0,5.5
131,6,21,Ive,4,Starship Entertainment,Fille,Groupe,Heya,2023,Non,Non,6.5,5.0,5.75
132,6,22,Stray Kids,4,JYP Entertainment,Gars,Groupe,Chk chk boom,2024,Non,Non,10.0,5.75,7.88
133,7,1,NewJeans,4,ADOR,Fille,Groupe,OMG,2023,Non,Non,2.5,9.5,6.0
134,7,2,Got7,3,JYP Entertainment,Gars,Groupe,Just right,2015,Non,Non,2.5,7.0,4.75
135,7,3,Stray Kids,4,JYP Entertainment,Gars,Groupe,My pace,2018,Non,Non,7.75,10.0,8.88
136,7,4,Aespa,4,SM Entertainment,Fille,Groupe,Armageddon,2024,Non,Non,5.25,8.0,6.63
