ID,Episode,Numero,Artiste,Generation,Compagnie,Sexe,Taille,Titre,Annee,Sous_unite,Featuring,Moyenne_Nouveaux_fans,Moyenne_Anciens_fans,Moyenne_Totale
236,11,16,Wanna one,3,YMC Entertainment,Gars,Groupe,Boomerang,2018,Non,Non,4.0,9.0,6.5
237,11,17,Aespa,4,SM Entertainment,Fille,Groupe,Spicy,2023,Non,Non,3.75,6.0,4.88
238,11,18,Seventeen,3,Pledis Entertainment,Gars,Groupe,Clap,2017,Non,Non,5.0,8.25,6.63
239,11,19,BTS,3,BigHit Entertainment,Gars,Groupe,Go go,2018,Non,Non,3.0,4.25,3.63
240,11,20,BabyMonster,5,YG Entertainment,Fille,Groupe,Like that,2024,Non,Non,5.75,5.25,5.5
241,11,21,Stray Kids,4,JYP Entertainment,Gars,Groupe,Side Effects,2019,Non,Non,8.25,9.0,8.63
242,11,22,Psy,2,YG Entertainment,Gars,Solo,Gentleman,2013,Non,Non,3.25,7.5,5.38
243,12,1,BigBang,2,YG Entertainment,Gars,Groupe,Loser,2015,Non,Non,1.5,9.0,5.25
244,12,2,Twice,3,JYP Entertainment,Fille,Groupe,Likey,2017,Non,Non,3.0,6.5,4.75
245,12,3,Ateez,4,KQ Entertainment,Gars,Groupe,Horizon,2020,Non,Non,9.0,8.5,8.75
246,12,4,BTS,3,BigHit Entertainment,Gars,Groupe,Airplane,2018,Non,Non,4.0,5.5,4.75
247,12,5,Sunmi,2,Makeus Entertainment,Fille,Solo,Gashina,2017,Non,Non,5.0,10.0,7.5
248,12,6,TXT,4,BigHit Entertainment,Gars,Groupe,Puma,2020,Non,Non,3.75,5.5,4.63
249,12,7,Stray Kids,4,JYP Entertainment,Gars,Groupe,Victory song,2019,Non,Non,7.5,9.75,8.63
250,12,8,Everglow,4,Yuehua Entertainment,Fille,Groupe,Slay,2023,Non,Non,5.0,7.0,6.0
251,12,9,Eric Nam,3,CJeS Entertainment,Gars,Solo,Congratulations,2019,Non,Non,4.0,10.0,7.0
252,12,10,Le Sserafim,4,Source Music,Fille,Groupe,Unforgiven,2023,Non,Non,5.0,6.25,5.63
253,12,11,CIX,4,C9 Entertainment,Gars,Groupe,Movie star,2019,Non,Non,4.25,9.0,6.63
254,12,12,Nu'est,2,Pledis Entertainment,Gars,Groupe,Face,2012,Non,Non,2.75,9.5,6.13
255,12,13,Badvillain,5,BPM,Fille,Groupe,Badvillain,2024,Non,Non,6.0,7.0,6.5
256,12,14,BTS,3,BigHit Entertainment,Gars,Groupe,For youth,2022,Non,Non,2.0,7.5,4.75
257,12,15,(G)I-dle,4,CUBE Entertainment,Fille,Groupe,Hwaa,2021,Non,Non,6.25,7.5,6.88
258,12,16,Seventeen,3,Pledis Entertainment,Gars,Groupe,Change up,2017,SVT Leaders,Non,4.0,10.0,7.0
259,12,17,NCT Dream,4,SM Entertainment,Gars,Groupe,Hot sauce,2021,Non,Non,4.25,6.0,5.13
260,12,18,BlackPink,3,YG Entertainment,Fille,Groupe,The Girls,2023,Non,Non,5.25,5.0,5.13
261,12,19,The boyz,4,ONE HUNDRED ,Gars,Groupe,Reveal,2020,Non,Non,9.0,9.5,9.25
262,12,20,Stray Kids,4,JYP Entertainment,Gars,Groupe,Insomnia,2020,Non,Non,6.0,10.0,8.0
263,12,21,Rosé,3,YG Entertainment,Fille,Solo,On the Ground,2021,Non,Non,2.75,3.5,3.13
264,12,22,P1Harmony,4,FNC Entertainment,Gars,Groupe,Jump,2023,Non,Non,6.25,8.0,7.13
265,13,1,Seventeen,3,Pledis Entertainment,Gars,Groupe,_World,2022,Non,Non,4.0,9.0,6.5
266,13,2,Super junior,2,SM Entertainment,Gars,Groupe,Black suit,2017,Non,Non,4.25,10.0,7.13
267,13,3,StayC,4,High Up Entertainment,Fille,Groupe,Asap,2021,Non,Non,1.25,5.5,3.38
268,13,4,Pentagon,3,CUBE Entertainment,Gars,Groupe,Dr.Bebe,2020,Non,Non,7.25,9.5,8.38
269,13,5,Twice,3,JYP Entertainment,Fille,Groupe,Talk that talk,2022,Non,Non,4.75,10.0,7.38
270,13,6,Day6,3,JYP Entertainment,Gars,Groupe,Shoot me,2018,Non,Non,6.75,10.0,8.38
271,13,7,Ateez,4,KQ Entertainment,Gars,Groupe,Wave,2019,Non,Non,4.5,10.0,7.25
272,13,8,Jeon somi,3,The Black Label,Fille,Solo,Fast forward,2023,Non,Non,5.75,9.0,7.38
273,13,9,SF9,3,FNC Entertainment,Gars,Groupe,Good guy,2020,Non,Non,5.0,10.0,7.5
274,13,10,Wonder Girls,2,JYP Entertainment,Fille,Groupe,Why so lonely,2016,Non,Non,2.75,9.5,6.13
275,13,11,SHINee,2,SM Entertainment,Gars,Groupe,View,2015,Non,Non,4.25,10.0,7.13
276,13,12,Stray Kids,4,JYP Entertainment,Gars,Groupe,Freeze,2021,Non,Non,7.25,7.25,7.25
277,13,13,Ive,4,Starship Entertainment,Fille,Groupe,Accendio,2024,Non,Non,5.75,5.5,5.63
278,13,14,BTS,3,BigHit Entertainment,Gars,Groupe,Yet to come,2022,Non,Non,1.5,4.0,2.75
279,13,15,N.Flying,2,FNC Entertainment,Gars,Groupe,Oh Really,2020,Non,Non,5.75,9.0,7.38
280,13,16,BlackPink,3,YG Entertainment,Fille,Groupe,Whistle,2016,Non,Non,5.0,5.5,5.25
281,13,17,TXT,4,BigHit Entertainment,Gars,Groupe,Cat & dog,2019,Non,Non,2.5,4.5,3.5
282,13,18,Oneus,4,RBW,Gars,Groupe,Come back home,2020,Non,Non,6.5,10.0,8.25
283,13,19,Iz*one,4,Off The Record Entertainment,Fille,Groupe,La vie en rose,2018,Non,Non,2.5,8.0,5.25
284,13,20,Zerobaseone,5,WAKEONE,Gars,Groupe,In bloom,2023,Non,Non,5.25,8.0,6.63
285,13,21,Yena & Yuqi,4,/Null/,Fille,Duo,Hate Rodrigo,2023,Non,Non,4.0,5.5,4.75
286,13,22,Stray Kids,4,JYP Entertainment,Gars,Groupe,Astronaut,2019,Non,Non,5.75,8.25,7.0
287,14,1,Wendy,3,SM Entertainment,Fille,Solo,Wish you hell,2024,Non,Non,4.0,6.0,5.0
288,14,2,SuperM,4,SM Entertainment,Gars,Groupe,Jopping,2019,Non,Non,5.0,8.5,6.75
289,14,3,Monsta X,3,Starship Entertainment,Gars,Groupe,Hero,2015,Non,Non,5.25,10.0,7.63
290,14,4,Nmixx,4,JYP Entertainment,Fille,Groupe,Dash,2024,Non,Non,4.75,4.5,4.63
291,14,5,Taemin,2,SM Entertainment,Gars,Solo,Want,2019,Non,Non,3.5,9.25,6.38
292,14,6,Red Velvet,3,SM Entertainment,Fille,Groupe,Naughty,2020,Non,Non,2.5,8.75,5.63
293,14,7,NCT 127,4,SM Entertainment,Gars,Groupe,Fire truck,2016,Non,Non,2.5,10.0,6.25
294,14,8,Psy,2,YG Entertainment,Gars,Solo,Daddy,2015,Non,Non,1.5,7.5,4.5
295,14,9,Iz*one,4,Off The Record Entertainment,Fille,Groupe,Violeta,2019,Non,Non,3.0,8.0,5.5
296,14,10,TXT,4,BigHit Entertainment,Gars,Groupe,Tinnitus,2023,Non,Non,2.25,4.75,3.5
297,14,11,Hwa Sa,3,RBW,Fille,Solo,Na,2024,Non,Non,5.0,9.0,7.0
298,14,12,VIXX,2,Jellyfish Entertainment,Gars,Groupe,Chained up,2015,Non,Non,3.5,10.0,6.75
299,14,13,Stray Kids,4,JYP Entertainment,Gars,Groupe,Gone days,2019,Non,Non,6.0,8.75,7.38
300,14,14,Gfriend,3,Source Music,Fille,Groupe,Me gustas tu,2015,Non,Non,1.75,8.75,5.25
301,14,15,Xdinary Heroes,4,JYP Entertainment,Gars,Groupe,Love and fear,2024,Non,Non,8.25,8.0,8.13
302,14,16,BlackPink,3,YG Entertainment,Fille,Groupe,Stay,2016,Non,Non,1.0,6.0,3.5
303,14,17,Exo,3,SM Entertainment,Gars,Groupe,The eve,2017,Non,Non,4.0,8.75,6.38
304,14,18,Seventeen,3,Pledis Entertainment,Gars,Groupe,Darl+ing,2022,Non,Non,3.75,9.0,6.38
305,14,19,Lisa,3,YG Entertainment,Fille,Solo,New women,2024,Non,Rosalía,4.0,6.5,5.25
306,14,20,BTS,3,BigHit Entertainment,Gars,Groupe,Just one day,2014,Non,Non,1.75,7.5,4.63
307,14,21,Ateez,4,KQ Entertainment,Gars,Groupe,Not okay,2024,Non,Non,7.75,6.75,7.25
308,14,22,Dreamcatcher,3,Dreamcatcher Company,Fille,Groupe,Justice,2024,Non,Non,10.0,8.5,9.25
309,15,1,MCND,4,TOP Media,Gars,Groupe,Spring,2020,Non,Non,4.75,9.5,7.13
310,15,2,Le Sserafim,4,Source Music,Fille,Groupe,Eve. psyche & the bluebeard's wife,2023,Non,Non,4.75,6.25,5.5
311,15,3,Xikers,5,KQ Entertainment,Gars,Groupe,Tricky house,2023,Non,Non,6.25,6.75,6.5
312,15,4,Everglow,4,Yuehua Entertainment,Fille,Groupe,Adios,2019,Non,Non,5.75,8.0,6.88
313,15,5,Zerobaseone,5,WAKEONE,Gars,Groupe,Good so bad,2023,Non,Non,5.5,6.5,6.0
314,15,6,Day6,3,JYP Entertainment,Gars,Groupe,Sweet chaos,2019,Non,Non,7.5,10.0,8.75
315,15,7,Chung Ha,3,MNH Entertainment,Fille,Solo,Snapping,2019,Non,Non,5.0,10.0,7.5
316,15,8,Pentagon,3,CUBE Entertainment,Gars,Groupe,Naughty boy,2018,Non,Non,3.5,9.0,6.25
317,15,9,NCT Dream,4,SM Entertainment,Gars,Groupe,Smoothie,2022,Non,Non,4.25,7.0,5.63
318,15,10,Loona,3,BlockBerryCreative,Fille,Groupe,Paint the town,2021,Non,Non,5.0,5.25,5.13
319,15,11,Wanna one,3,YMC Entertainment,Gars,Groupe,Energetic,2017,Non,Non,5.0,10.0,7.5
320,15,12,StayC,4,High Up Entertainment,Fille,Groupe,Bubble,2023,Non,Non,2.0,5.75,3.88
321,15,13,Kang Daniel,3,KONNECT Entertainment,Gars,Groupe,Movie,2020,Non,Non,3.5,8.0,5.75
322,15,14,Stray Kids,4,JYP Entertainment,Gars,Groupe,Voices,2019,Non,Non,6.75,10.0,8.38
323,15,15,Huh Yunjin,4,Source Music,Fille,Solo,I ≠ DOLL,2023,Non,Non,3.0,8.0,5.5
324,15,16,Astro,3,Fantagio,Gars,Groupe,Blue flame,2019,Non,Non,7.0,9.75,8.38
325,15,17,N.Flying,2,FNC Entertainment,Gars,Groupe,Rooftop,2019,Non,Non,5.75,10.0,7.88
326,15,18,Mamamoo,2,RBW,Fille,Groupe,Aya,2020,Non,Non,4.0,10.0,7.0
327,15,19,The rose,3,J&Star Entertainment,Gars,Groupe,Back to me,2023,Non,Non,7.75,8.0,7.88
328,15,20,Aespa,4,SM Entertainment,Fille,Groupe,Savage,2021,Non,Non,3.25,6.25,4.75
329,15,21,P1Harmony,4,FNC Entertainment,Gars,Groupe,Sad song,2023,Non,Non,6.75,9.5,8.13
330,15,22,Agust D,3,BigHit Entertainment,Gars,Solo,Daechwita,2020,Non,Non,2.0,5.5,3.75
331,16,1,(G)I-dle,4,CUBE Entertainment,Fille,Groupe,Wife,2024,Non,Non,0.75,5.0,2.88
332,16,2,Nu'est,2,Pledis Entertainment,Gars,Groupe,I'm in trouble,2020,Non,Non,4.5,9.0,6.75
333,16,3,Block B,2,Seven Seasons,Gars,Groupe,Shall we dance,2017,Non,Non,2.75,10.0,6.38
334,16,4,Sunmi,2,Makeus Entertainment,Fille,Solo,Noir,2019,Non,Non,3.25,9.0,6.13
335,16,5,N.Flying,2,FNC Entertainment,Gars,Groupe,The real,2017,Non,Non,5.25,9.0,7.13
336,16,6,NCT 127,4,SM Entertainment,Gars,Groupe,Walk,2024,Non,Non,3.25,7.0,5.13
337,16,7,Itzy,4,JYP Entertainment,Fille,Groupe,Cake,2023,Non,Non,3.0,6.5,4.75
338,16,8,ONF,3,WM Entertainment,Gars,Groupe,Why,2022,Non,Non,4.5,9.25,6.88
339,16,9,SF9,3,FNC Entertainment,Gars,Groupe,Mamma mia,2018,Non,Non,3.5,8.5,6.0
340,16,10,Twice,3,JYP Entertainment,Fille,Groupe,Set me free,2023,Non,Non,3.5,7.0,5.25
341,16,11,Enhypen,4,Belift Lab,Gars,Groupe,Brought the heat back,2024,Non,Non,8.25,8.25,8.25
342,16,12,StayC,4,High Up Entertainment,Fille,Groupe,Beautiful monster,2022,Non,Non,3.5,6.0,4.75
343,16,13,The Boyz,4,Cre.ker Entertainment,Gars,Groupe,No air,2018,Non,Non,4.5,9.25,6.88
344,16,14,Pentagon,3,CUBE Entertainment,Gars,Groupe,Spring snow,2020,Non,Non,5.25,8.5,6.88
345,16,15,Everglow,4,Yuehua Entertainment,Fille,Groupe,First,2021,Non,Non,6.25,7.75,7.0
346,16,16,NCT Dream,4,SM Entertainment,Gars,Groupe,Boom,2019,Non,Non,5.0,10.0,7.5
347,16,17,Riize,5,SM Entertainment,Gars,Groupe,Impossible,2024,Non,Non,4.75,7.25,6.0
348,16,18,Jeon somi,3,The Black Label,Fille,Solo,Dumb dumb,2021,Non,Non,4.0,7.5,5.75
349,16,19,Stray Kids,4,JYP Entertainment,Gars,Groupe,Get cool,2018,Non,Non,5.5,9.5,7.5
350,16,20,Just B,4,Bluedot Entertainment,Gars,Groupe,Medusa,2023,Non,Non,4.25,7.0,5.63
351,16,21,Kep1er,4,Wake One Entertainment,Fille,Groupe,Up!,2022,Non,Non,1.5,6.75,4.13
352,16,22,iKon,2,YG Entertainment,Gars,Groupe,Killing me,2018,Non,Non,4.75,9.5,7.13
353,17,1,Nmixx,4,JYP Entertainment,Fille,Groupe,Love me like this,2023,Non,Non,1.5,5.5,3.5
354,17,2,NCT 127,4,SM Entertainment,Gars,Groupe,2 Baddies,2022,Non,Non,2.0,5.5,3.75
355,17,3,Oneus,4,RBW,Gars,Groupe,Baila conmigo,2023,Non,Non,5.5,6.0,5.75
356,17,4,4Minute,2,CUBE Entertainment,Fille,Groupe,Crazy,2015,Non,Non,3.5,10.0,6.75
357,17,5,Xdinary Heroes,4,JYP Entertainment,Gars,Groupe,Freakin' bad,2023,Non,Non,9.0,7.5,8.25
358,17,6,Viviz,4,BPM Entertainment,Fille,Groupe,Maniac,2023,Non,Non,5.0,7.0,6.0
359,17,7,Psy,2,YG Entertainment,Gars,Solo,New face,2017,Non,Non,1.75,8.5,5.13
360,17,8,Super junior,2,SM Entertainment,Gars,Groupe,Mr. Simple,2011,Non,Non,2.75,8.5,5.63
361,17,9,NewJeans,4,ADOR,Fille,Groupe,How sweet,2024,Non,Non,2.5,8.75,5.63
362,17,10,Ampers&one,5,FNC Entertainment,Gars,Groupe,On and on,2023,Non,Non,4.75,7.0,5.88
363,17,11,Jihyo,3,JYP Entertainment,Fille,Solo,Killin'me good,2023,Non,Non,4.5,6.75,5.63
364,17,12,Stray Kids,4,JYP Entertainment,Gars,Groupe,All in,2020,Non,Non,8.0,8.5,8.25
365,17,13,Block B,2,Seven Seasons,Gars,Groupe,Her,2014,Non,Non,3.75,9.0,6.38
366,17,14,(G)I-dle,4,CUBE Entertainment,Fille,Groupe,Klaxon,2024,Non,Non,1.75,5.0,3.38
367,17,15,NCT Dream,4,SM Entertainment,Gars,Groupe,We go up,2018,Non,Non,2.5,9.5,6.0
368,17,16,Girls' Generation,2,SM Entertainment,Fille,Groupe,Gee,2011,Non,Non,2.5,8.0,5.25
369,17,17,P1Harmony,4,FNC Entertainment,Gars,Groupe,Back down,2022,Non,Non,3.0,7.75,5.38
370,17,18,Exo,3,SM Entertainment,Gars,Groupe,Call me baby,2015,Non,Non,3.5,9.0,6.25
371,17,19,XG,4,XGALX,Fille,Groupe,Puppet show,2023,Non,Non,4.0,8.75,6.38
372,17,20,SuperM,4,SM Entertainment,Gars,Groupe,Tiger inside,2020,Non,Non,4.75,8.25,6.5
373,17,21,Red Velvet,3,SM Entertainment,Fille,Groupe,Cosmic,2024,Non,Non,3.75,7.75,5.75
374,17,22,Yeonjun,4,BigHit Entertainment,Gars,Solo,Ggum,2024,Non,Non,4.5,4.0,4.25
375,18,1,Samuel,3,Brave Entertainment,Gars,Solo,One,2018,Non,Non,5.5,7.25,6.38
376,18,2,2 PM,2,JYP Entertainment,Gars,Groupe,Heartbeat,2009,Non,Non,2.5,6.0,4.25
377,18,3,Twice,3,JYP Entertainment,Fille,Groupe,Cheer up,2016,Non,Non,2.25,5.5,3.88
378,18,4,The KingDom,5,GF Entertainment,Gars,Groupe,Flip that coin,2024,Non,Non,7.0,7.25,7.13
379,18,5,Dreamcatcher,3,Dreamcatcher Company,Fille,Groupe,Chase me,2017,Non,Non,8.5,9.0,8.75
380,18,6,Stray Kids,4,JYP Entertainment,Gars,Groupe,Why?,2024,Non,Non,9.5,6.75,8.13
381,18,7,NCT U,4,SM Entertainment,Gars,Groupe,Make a wish,2020,Non,Non,4.0,9.5,6.75
382,18,8,(G)I-dle,4,CUBE Entertainment,Fille,Groupe,Tomboy,2022,Non,Non,4.75,8.5,6.63
383,18,9,BoyNextDoor,5,KOZ Entertainment,Gars,Groupe,Nice guy,2024,Non,Non,4.0,7.0,5.5
384,18,10,Zerobaseone,5,WAKEONE,Gars,Groupe,Crush,2023,Non,Non,5.5,7.0,6.25
385,18,11,Red Velvet,3,SM Entertainment,Fille,Groupe,Bad boy,2018,Non,Non,3.5,9.5,6.5
386,18,12,Xdinary Heroes,4,JYP Entertainment,Gars,Groupe,Little things,2024,Non,Non,8.5,9.5,9.0
387,18,13,Rosé,3,YG Entertainment,Fille,Solo,APT,2024,Non,Bruno Mars,8.0,10.0,9.0
388,18,14,Exo,3,SM Entertainment,Gars,Groupe,Ko ko bop,2017,Non,Non,3.5,9.5,6.5
389,18,15,Oneus,4,RBW,Gars,Groupe,Erase me,2023,Non,Non,7.25,7.0,7.13
390,18,16,Iz*one,4,Off The Record Entertainment,Fille,Groupe,Secret story of the swan,2020,Non,Non,4.5,9.0,6.75
391,18,17,Seventeen,3,Pledis Entertainment,Gars,Groupe,Oh my!,2018,Non,Non,4.5,7.75,6.13
392,18,18,Tempest,4,Yuehua Entertainment,Gars,Groupe,Lighthouse,2024,Non,Non,8.0,7.5,7.75
393,18,19,Yena,4,Waterbomb,Fille,Solo,Wicked love,2023,Non,Non,6.5,7.25,6.88
394,18,20,Lucy,4,Mystic Story,Gars,Groupe,Boogie man,2023,Non,Non,7.5,9.0,8.25
395,18,21,2Ne1,2,YG Entertainment,Fille,Groupe,Come back home,2014,Non,Non,2.0,10.0,6.0
396,18,22,The boyz,4,ONE HUNDRED ,Gars,Groupe,Trigger,2024,Non,Non,5.0,7.0,6.0
397,19,1,The rose,3,J&Star Entertainment,Gars,Groupe,Alive,2023,Non,Non,8.0,7.0,7.5
398,19,2,GOT the beat,4,SM Entertainment,Fille,Groupe,Step back,2022,Non,Non,5.5,6.0,5.75
399,19,3,TXT,4,BigHit Entertainment,Gars,Groupe,Everlasting shine,2020,Non,Non,6.0,6.0,6.0
400,19,4,Dreamcatcher,3,Dreamcatcher Company,Fille,Groupe,Piri,2019,Non,Non,8.5,9.0,8.75
401,19,5,Dongkiz,4,Dongyo,Gars,Groupe,Lupin,2020,Non,Non,6.0,7.5,6.75
402,19,6,Day6,3,JYP Entertainment,Gars,Groupe,Time of our life,2019,Non,Non,6.75,9.5,8.13
403,19,7,Yena,4,Waterbomb,Fille,Solo,NemoNemo,2024,Non,Non,6.5,4.25,5.38
404,19,8,8Turn,5,MNH Entertainment,Gars,Groupe,Excel,2023,Non,Non,5.75,7.25,6.5
405,19,9,Ftisland,2,FNC Entertainment,Gars,Groupe,I wish,2012,Non,Non,4.5,7.75,6.13
406,19,10,Loossemble,5,CTDE&M,Fille,Groupe,TTYL,2024,Non,Non,6.5,7.25,6.88
407,19,11,Pentagon,3,CUBE Entertainment,Gars,Groupe,Daisy,2020,Non,Non,6.75,9.0,7.88
408,19,12,Oneus,4,RBW,Gars,Groupe,Valkyrie,2019,Non,Non,7.75,8.5,8.13
409,19,13,Twice,3,JYP Entertainment,Fille,Groupe,Dance the night away,2018,Non,Non,2.0,8.5,5.25
410,19,14,Xikers,5,KQ Entertainment,Gars,Groupe,Bittersweet,2024,Non,Non,7.5,7.5,7.5
411,19,15,AleXa,4,ZB Label,Fille,Solo,Revolution,2020,Non,Non,7.0,6.5,6.75
412,19,16,BigBang,2,YG Entertainment,Gars,Groupe,This love,2009,Non,Non,3.5,5.0,4.25
413,19,17,Xdinary Heroes,4,JYP Entertainment,Gars,Groupe,Boy comics,2024,Non,Non,8.5,7.5,8.0
414,19,18,Exid,2,Banana Culture Entertainment,Fille,Groupe,I love you,2018,Non,Non,3.0,10.0,6.5
415,19,19,Enhypen,4,Belift Lab,Gars,Groupe,No doubt,2024,Non,Non,5.75,8.0,6.88
416,19,20,(G)I-dle,4,CUBE Entertainment,Fille,Groupe,Lion,2019,Non,Non,5.5,10.0,7.75
417,19,21,Lucy,4,Mystic Story,Gars,Groupe,Villain,2024,Non,Non,8.0,8.75,8.38
418,19,22,Stray Kids,4,JYP Entertainment,Gars,Groupe,Top,2020,Non,Non,9.25,7.75,8.5
419,20,1,Xdinary Heroes,4,JYP Entertainment,Gars,Groupe,Happy death day,2021,Non,Non,8.0,6.5,7.25
420,20,2,Sunmi,2,Makeus Entertainment,Fille,Solo,Siren,2018,Non,Non,3.75,8.25,6.0
421,20,3,Bus,5,TADA Labels,Gars,Groupe,Liar,2024,Non,Non,6.5,6.5,6.5
422,20,4,Uniq,3,YG Entertainment,Gars,Groupe,Eoeo,2015,Non,Non,2.0,10.0,6.0
423,20,5,Dreamcatcher,3,Dreamcatcher Company,Fille,Groupe,OODT,2023,Non,Non,7.75,7.5,7.63
424,20,6,AB6IX,4,Brand New Music,Gars,Groupe,Breathe,2019,Non,Non,4.0,10.0,7.0
425,20,7,Weekly,4,Play M Entertainment,Fille,Groupe,After school,2021,Non,Non,5.0,6.0,5.5
426,20,8,8Turn,5,MNH Entertainment,Gars,Groupe,Ru-pum pum,2023,Non,Non,4.5,7.0,5.75
427,20,9,Cnblue,2,FNC Entertainment,Gars,Groupe,Love girl,2011,Non,Non,4.5,5.5,5.0
428,20,10,Nmixx,4,JYP Entertainment,Fille,Groupe,Dice,2022,Non,Non,4.25,4.75,4.5
429,20,11,X1,4,CJ ENM,Gars,Groupe,Flash,2019,Non,Non,5.75,10.0,7.88
430,20,12,Brave Girls,3,Brave Entertainment,Fille,Groupe,Rollin',2017,Non,Non,3.25,10.0,6.63
431,20,13,Cravity,4,Starship Entertainment,Gars,Groupe,Ready or not,2023,Non,Non,7.25,7.5,7.38
432,20,14,Jackson Wang,3,Team Wang,Gars,Solo,Bullet to the heart,2019,Non,Non,5.0,9.0,7.0
433,20,15,Loona,3,BlockBerryCreative,Fille,Groupe,Why not?,2020,Non,Non,4.25,7.75,6.0
434,20,16,NCT Dream,4,SM Entertainment,Gars,Groupe,When I'm with you,2022,Non,Non,5.25,5.0,5.13
435,20,17,Stray Kids,4,JYP Entertainment,Gars,Groupe,Giant,2024,Non,Non,9.5,7.5,8.5
436,20,18,Tzuyu,3,JYP Entertainment,Fille,Solo,Run away,2024,Non,Non,5.25,4.0,4.63
437,20,19,Woodz,4,Play M Entertainment,Gars,Groupe,Drowning,2023,Non,Non,6.75,8.25,7.5
438,20,20,Twice,3,JYP Entertainment,Fille,Groupe,More & more,2020,Non,Non,4.5,8.75,6.63
439,20,21,Enhypen,4,Belift Lab,Gars,Groupe,Hey Tayo,2021,Non,Non,3.25,7.5,5.38
440,20,22,Seventeen,3,Pledis Entertainment,Gars,Groupe,Hit,2019,Non,Non,7.5,10.0,8.75
