Artiste,Generation,Compagnie,Sexe,Taille,Nombre_de_titres,Moyenne_Nouveaux_fans,Moyenne_Anciens_fans,Moyenne_Totale
P1Harmony,4,FNC Entertainment,Gars,Groupe,4,5.63,8.0,6.81
Pentagon,3,CUBE Entertainment,Gars,Groupe,5,5.7,9.2,7.45
Psy,2,YG Entertainment,Gars,Solo,5,2.75,6.95,4.85
Red Velvet,3,SM Entertainment,Fille,Groupe,6,3.04,8.33,5.69
Riize,5,SM Entertainment,Gars,Groupe,3,4.25,7.25,5.75
Rosé,3,YG Entertainment,Fille,Solo,2,5.38,6.75,6.06
SF9,3,FNC Entertainment,Gars,Groupe,2,4.25,9.25,6.75
SHINee,2,SM Entertainment,Gars,Groupe,2,2.75,9.75,6.25
Samuel,3,Brave Entertainment,Gars,Solo,1,5.5,7.25,6.38
Seventeen,3,Pledis Entertainment,Gars,Groupe,16,5.34,8.48,6.91
Shaun,3,AOMG,Gars,Solo,1,4.25,9.0,6.63
StayC,4,High Up Entertainment,Fille,Groupe,3,2.25,5.75,4.0
Stella Jang,3,Schnauzer Boulangerie,Fille,Solo,1,0.5,6.0,3.25
Stray Kids,4,JYP Entertainment,Gars,Groupe,43,8.28,7.62,7.95
Sunmi,2,Makeus Entertainment,Fille,Solo,3,4.0,9.08,6.54
Super junior,2,SM Entertainment,Gars,Groupe,4,3.19,8.56,5.88
SuperM,4,SM Entertainment,Gars,Groupe,2,4.88,8.38,6.63
TWS,5,Pledis Entertainment,Gars,Groupe,1,5.5,6.75,6.13
TXT,4,BigHit Entertainment,Gars,Groupe,15,5.75,6.37,6.06
Taemin,2,SM Entertainment,Gars,Solo,1,3.5,9.25,6.38
Tempest,4,Yuehua Entertainment,Gars,Groupe,1,8.0,7.5,7.75
The Boyz,4,Cre.ker Entertainment,Gars,Groupe,1,4.5,9.25,6.88
The KingDom,5,GF Entertainment,Gars,Groupe,1,7.0,7.25,7.13
The boyz,4,ONE HUNDRED ,Gars,Groupe,2,7.0,8.25,7.63
The rose,3,J&Star Entertainment,Gars,Groupe,2,7.88,7.5,7.69
Treasure,4,YG Entertainment,Gars,Groupe,7,5.96,6.61,6.29
Twice,3,JYP Entertainment,Fille,Groupe,10,3.38,7.78,5.58
Tzuyu,3,JYP Entertainment,Fille,Solo,1,5.25,4.0,4.63
Uniq,3,YG Entertainment,Gars,Groupe,1,2.0,10.0,6.0
VIXX,2,Jellyfish Entertainment,Gars,Groupe,1,3.5,10.0,6.75
Viviz,4,BPM Entertainment,Fille,Groupe,1,5.0,7.0,6.0
Wanna one,3,YMC Entertainment,Gars,Groupe,3,3.92,9.5,6.71
Weekly,4,Play M Entertainment,Fille,Groupe,1,5.0,6.0,5.5
Wendy,3,SM Entertainment,Fille,Solo,1,4.0,6.0,5.0
Winner,3,YG Entertainment,Gars,Groupe,1,2.0,9.0,5.5
Wonder Girls,2,JYP Entertainment,Fille,Groupe,2,1.88,7.63,4.75
Woodz,4,Play M Entertainment,Gars,Groupe,1,6.75,8.25,7.5
X1,4,CJ ENM,Gars,Groupe,1,5.75,10.0,7.88
XG,4,XGALX,Fille,Groupe,1,4.0,8.75,6.38
Xdinary Heroes,4,JYP Entertainment,Gars,Groupe,5,8.45,7.8,8.13
Xikers,5,KQ Entertainment,Gars,Groupe,2,6.88,7.13,7.0
Yena,4,Waterbomb,Fille,Solo,2,6.5,5.75,6.13
Yena & Yuqi,4,/Null/,Fille,Duo,1,4.0,5.5,4.75
Yeonjun,4,BigHit Entertainment,Gars,Solo,1,4.5,4.0,4.25
Zerobaseone,5,WAKEONE,Gars,Groupe,3,5.42,7.17,6.29
f(x),2,SM Entertainment,Fille,Groupe,1,1.75,7.0,4.38
iKon,2,YG Entertainment,Gars,Groupe,2,4.5,9.25,6.88
