Vibe,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
Aucune,355,8.23,1.0,10.0,8.0,10.0
Loveur,24,8.63,5.0,10.0,8.75,10.0
Nostalgie,23,8.8,6.0,10.0,9.0,10.0
Positive,29,8.05,4.0,10.0,8.0,10.0
Été,9,8.22,5.5,10.0,9.0,10.0
