Sexe,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
Fille,161,7.96,3.0,10.0,8.0,10.0
Gars,279,8.44,1.0,10.0,8.5,10.0
