Taille,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
Groupe,389,8.41,3.0,10.0,8.5,10.0
Solo,48,7.24,1.0,10.0,7.5,8.0
Duo,3,6.5,4.0,8.5,7.0,4.0
