Generation,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
2,47,4.82,0.5,10.0,4.5,4.5
3,161,6.15,0.0,10.0,6.0,8.0
4,208,6.79,0.0,10.0,7.5,10.0
5,24,6.46,2.5,10.0,6.75,8.0
