Vibe,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
Aucune,355,6.36,0.0,10.0,6.5,10.0
Loveur,24,6.96,2.5,10.0,7.75,8.0
Nostalgie,23,5.39,1.5,9.5,5.5,4.0
Positive,29,6.93,2.5,10.0,7.5,7.5
Été,9,3.67,0.5,6.0,4.0,3.0
