Sexe,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
Fille,161,5.11,0.0,10.0,4.5,4.0
Gars,279,7.03,0.0,10.0,7.5,10.0
